N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
2815,2914,2333,1746,909,3966,234,491,1200,4007,775,3757
2636,2500,2175,1671,855,2931,234,454,1122,,696,3363
2556,2289,2007,1545,855,2864,234,447,1025,,696,
2364,2136,1951,1545,855,,234,412,935,,696,
2294,2136,1951,1545,820,,234,412,935,,659,
,2136,1951,1545,820,,234,412,934,,659,
,2136,1951,1535,820,,234,412,934,,657,
,2136,1951,1527,820,,234,412,930,,657,
,,1951,1527,792,,234,412,916,,657,
,,1868,1527,792,,234,412,916,,657,
,,1845,1527,792,,234,412,916,,657,
,,1845,1492,792,,234,412,916,,657,
,,,1492,792,,234,412,911,,657,
,,,1492,792,,234,412,911,,657,
,,,1472,787,,234,412,911,,657,
,,,1462,781,,234,412,902,,657,
,,,1462,781,,234,412,902,,657,
,,,1462,768,,234,412,902,,657,
,,,1462,768,,234,412,902,,657,
,,,1462,768,,234,412,902,,657,
,,,1462,768,,234,412,900,,657,
,,,1462,760,,234,412,892,,657,
,,,1462,760,,234,412,869,,657,
,,,1452,760,,234,412,869,,657,
,,,1452,760,,234,412,869,,657,
,,,1452,758,,234,412,869,,657,
,,,1431,758,,234,412,869,,657,
,,,1360,758,,234,412,869,,657,
,,,1360,758,,234,412,869,,657,
,,,,758,,234,412,869,,657,
,,,,758,,234,412,866,,657,
,,,,758,,234,412,866,,657,
,,,,758,,234,412,866,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,854,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,843,,657,
,,,,758,,234,412,841,,657,
,,,,758,,234,412,841,,657,
,,,,758,,234,412,841,,657,
,,,,758,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,751,,234,412,841,,657,
,,,,749,,234,412,841,,657,
,,,,749,,234,412,839,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,735,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,234,412,,,657,
,,,,,,,,,,,
