N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
3253,2867,2436,1719,966,3801,234,474,1117,4531,813,3863
,,,,726,,234,409,788,,629,
,,,,703,,234,409,724,,617,
,,,,703,,234,409,,,617,
,,,,,,234,409,,,617,
,,,,,,234,409,,,617,
,,,,,,234,409,,,617,
,,,,,,234,409,,,617,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,,,,,,
