N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
3023,2881,2674,1778,1075,3105,257,557,1235,4736,820,4043
3023,2881,2674,1778,1075,3105,257,557,1235,4736,820,4043
,,,1102,700,,234,409,721,,615,
,,,,700,,234,409,721,,615,
,,,,693,,234,409,707,,615,
,,,,693,,234,409,707,,615,
,,,,693,,234,409,,,615,
,,,,693,,234,409,,,615,
,,,,693,,234,409,,,615,
,,,,693,,234,409,,,615,
,,,,693,,234,409,,,615,
,,,,693,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,615,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,409,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,234,,,,,
,,,,,,,,,,,
