N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
5585,6641,3142,3633,1799,6993,459,850,1811,7889,872,5568
2658,2458,1639,1355,782,4343,459,429,878,5670,618,4460
2476,2109,1551,1351,763,3646,459,429,843,5344,617,4014
2417,1971,1551,1326,763,3529,459,429,813,4904,617,4014
2315,1971,1551,1326,763,3526,459,429,813,4867,617,3996
2200,1864,1551,1326,763,3515,459,429,813,4666,617,3738
2122,1864,1551,1326,763,3428,459,429,813,4666,617,3738
1942,1831,1551,1299,763,3428,459,429,813,4511,617,3738
1928,1831,1551,1299,763,3046,459,429,813,4511,617,3738
1928,1831,1551,1299,763,2840,459,429,813,4167,617,3738
,,,,,,,,,,,
