N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
5611,4152,4313,3405,1498,4162,487,1085,1143,6122,1685,5852
4337,2321,1361,1060,673,3660,397,409,705,4765,608,4256
3485,1960,1107,996,673,3270,397,409,705,4575,608,4256
2148,1555,1047,996,673,3147,397,409,705,4575,608,3951
1999,1508,1043,996,673,3123,397,409,705,4185,608,3703
1674,1407,1043,996,673,2954,397,409,703,4100,608,3703
1377,1232,1043,996,673,2720,397,409,703,3871,608,3579
1220,1149,1043,990,673,2640,397,409,703,3871,608,3493
1191,1140,1043,990,673,2546,397,409,703,3843,608,3427
1081,1100,1043,990,673,2331,397,409,703,3132,608,3302
,,,,,,,,,,,
